sample_id,concentration_ppb,source_file,Ip_corr,Ep,Area_peak,Peak_to_bg,Slope_rise,Slope_fall,Symmetry,dIdE_max,d2IdE2_max,Mean,Var,Skew,Kurtosis,Energy
10ppb_S3,10,Ac TW 10ppb.xlsx,3.824,-0.0833,0.76011392,1.976513397,8.711038759,-69.05882353,-0.126139403,41.50980392,816.5128797,3.0532,0.46827529,-1.028076506,3.035455341,244.7576382
10ppb_S4,10,Ac TW 10ppb.xlsx,3.615,-0.0833,0.7208317,2.004769299,8.331992336,-65.03921569,-0.128107208,38.50980392,838.1391772,2.895176,0.447612868,-0.95870559,2.848199074,220.7414235
10ppb_S5,10,Ac TW 10ppb.xlsx,2.5114,-0.0833,0.46410331,2.991756409,8.379653269,-45.59803922,-0.183772228,23.60784314,655.9976932,1.861328,0.370740876,-0.853247592,2.275961226,95.88207
10ppb_S6,10,Ac TW 10ppb.xlsx,2.7614,-0.0833,0.50574415,3.078072053,9.70009607,-50.92156863,-0.190490912,24.5,733.3717801,2.028328,0.480080236,-0.741961424,2.064518004,114.8548678
10ppb_S7,10,Ac TW 10ppb.xlsx,2.7328,-0.1751,0.52813963,2.356918619,15.57736285,-5.31989579,-2.928133081,24.56862745,703.0949635,2.11844,0.344254736,-0.840555713,2.380183067,120.8010692
10ppb_S8,10,Ac TW 10ppb.xlsx,2.7254,-0.0833,0.5102364,2.721154998,8.883093012,-49.60784314,-0.179066302,22.78431373,541.6186082,2.04696,0.411305274,-0.770860069,2.180420571,115.0337629
10ppb_S9,10,Ac TW 10ppb.xlsx,2.2822,-0.1956,0.42611758,2.238767903,14.5455231,-6.059048448,-2.400628288,22.40196078,647.8277586,1.708416,0.1949304,-0.663214243,2.66568151,77.84039072
10ppb_S10,10,Ac TW 10ppb.xlsx,2.5254,-0.2058,0.47380223,1.953494848,15.79518717,-6.161357148,-2.56358896,28.58823529,600.2499039,1.900128,0.18084918,-0.628974984,2.987651325,94.78338992
10ppb_S11,10,Ac TW 10ppb.xlsx,2.716,-0.1956,0.51107378,2.559366755,18.41203894,-5.397687014,-3.411097919,24.15686275,659.8423683,2.048432,0.355678345,-0.842860611,2.533341128,113.7938001
10ppb_S12,10,Ac TW 10ppb.xlsx,2.9216,-0.1956,0.54326671,2.285571236,19.25407925,-6.992533415,-2.753519806,29.44117647,752.1145713,2.176888,0.318017869,-0.804983291,2.903702165,126.4214808
10ppb_S13,10,Ac TW 10ppb.xlsx,2.343,-0.0833,0.43368969,2.331064947,5.573044221,-40.39215686,-0.137973425,21.99019608,636.7743176,1.74304,0.193337088,-0.968165422,2.990489499,80.78813824
10ppb_S14,10,Ac TW 10ppb.xlsx,3.4626,-0.1956,0.6943576,1.807315698,18.50390786,-7.543779539,-2.452869647,43.09803922,613.7062668,2.785376,0.330859505,-1.041405421,3.443029764,202.2294742
10ppb_S15,10,Ac TW 10ppb.xlsx,3.0254,-0.0833,0.58517711,2.238715406,7.675207401,-54.18627451,-0.141644862,30.62745098,668.012303,2.348728,0.352323603,-1.052569281,2.997514514,146.7211705
10ppb_S16,10,Ac TW 10ppb.xlsx,3.333,-0.1751,0.67055016,1.938196367,16.46086508,-6.003907857,-2.741691823,38.26470588,574.7789312,2.691392,0.368165848,-1.012676293,3.064255322,190.2939186
10ppb_S17,10,Ac TW 10ppb.xlsx,2.9802,-0.2058,0.5969816,1.962310367,19.44991087,-3.556250798,-5.469217999,34.80392157,643.502499,2.3966,0.283344368,-1.175408084,3.680094041,150.6758982
10ppb_S18,10,Ac TW 10ppb.xlsx,2.8954,-0.1956,0.56255217,2.093564714,17.30385301,-5.928983276,-2.91851945,31.16666667,761.7262591,2.2566,0.295410093,-0.919794202,2.963776413,134.6913413
10ppb_S19,10,Ac TW 10ppb.xlsx,3.2468,-0.1956,0.64913538,2.016495665,19.01679693,-5.299271064,-3.588568446,36.44117647,761.7262591,2.605016,0.370498323,-1.042669004,3.150447603,178.9151671
10ppb_S20,10,Ac TW 10ppb.xlsx,3.5984,-0.0833,0.73045438,1.882599142,7.75604674,-65.18627451,-0.11898282,43.34313725,630.5267205,2.932352,0.39454891,-1.201976249,3.582106832,224.830929
10ppb_S21,10,Ac TW 10ppb.xlsx,2.6662,-0.2058,0.52042208,2.10069335,18.91497326,-3.032149362,-6.238140342,29.89215686,630.5267205,2.088576,0.244693591,-1.149339775,3.682085609,115.1710825
10ppb_S22,10,Ac TW 10ppb.xlsx,5.955,-0.0833,0.9253572,3.569031237,20.58445554,-106.6078431,-0.193085752,37.8627451,630.0461361,3.723584,1.876312557,-0.327699232,1.99858996,393.534759
10ppb_S23,10,Ac TW 10ppb.xlsx,3.712,-0.1751,0.73959298,1.964270595,18.78095601,-7.886877828,-2.381291611,42.15686275,679.5463283,2.967032,0.459388437,-0.983106914,3.039784087,231.5666832
10ppb_S24,10,Ac TW 10ppb.xlsx,3.5064,-0.1751,0.71159549,1.944370508,17.55763998,-6.013368984,-2.91976761,40.25490196,613.2256824,2.856088,0.422825875,-1.04082761,3.090144182,214.5016135
